district,total_ntd,land_area,main_building_material,building_area,num_room,num_hall,num_toilet,transaction_year,transaction_month,building_age
Neihu District,6300000,12.16,Reinforced concrete construction,35.72,2,1,1,2019,11,1934
Neihu District,6000000,11.87,Reinforced concrete construction,37.39,1,1,1,2019,11,1937
Neihu District,6800000,12.78,Reinforced concrete construction,39.45,1,1,1,2019,11,1937
Neihu District,8780000,3.87,Reinforced concrete construction,47.6,1,1,1,2019,11,1921
Neihu District,10000000,12.16,Reinforced concrete construction,48.94,1,2,1,2019,10,1934
Neihu District,10000000,9.78,Reinforced concrete construction,46.29,1,0,1,2019,12,1923
