district,total_ntd,land_area,main_building_material,building_area,num_room,num_hall,num_toilet,transaction_year,transaction_month,building_age
Beitou,21500000,42,Reinforced concrete construction,105.97,3,2,2,2019,10,1956
Beitou,12550000,35.5,Reinforced concrete construction,94.1,3,2,1,2019,10,1957
Beitou,14800000,35.75,Reinforced concrete construction,83.25,3,2,1,2019,10,1958
Beitou,17800000,37.75,Reinforced concrete construction,95.61,3,2,2,2019,12,1954
Beitou,13800000,42,Reinforced concrete construction,100.78,3,2,2,2019,12,1958
Beitou,13500000,35.75,Reinforced concrete construction,104.91,3,2,1,2019,12,1957
Beitou,19100000,36.75,Reinforced concrete construction,87.3,2,2,1,2019,10,1957
Beitou,13200000,35,Reinforced concrete construction,97.44,2,2,1,2019,11,1955
